Date,INDOCO.NS.Open,INDOCO.NS.High,INDOCO.NS.Low,INDOCO.NS.Close,INDOCO.NS.Volume
18-04-2022,384.25,394.2999878,381.3999939,383.8999939,41108
19-04-2022,385.7999878,389.3999939,351.0499878,370.0499878,39224
20-04-2022,369,382,368,378.5,98039
21-04-2022,385,385.75,378.3500061,379.8500061,32402
22-04-2022,379.6499939,385.2000122,378.5499878,380.7000122,50265
25-04-2022,382.6000061,390,377.2000122,384.6499939,60186
26-04-2022,386.6000061,396.8500061,379,383.4500122,84872
27-04-2022,383.3999939,383.3999939,376.8500061,379.2999878,23647
28-04-2022,381.2000122,392,380.1499939,387.3500061,51096
29-04-2022,389.2999878,392,375.9500122,380.3999939,42622
02-05-2022,380,380,371,373.2000122,29714
04-05-2022,374.2000122,376.6499939,363.6499939,367.1000061,43223
05-05-2022,368.9500122,370,362.0499878,363.8500061,42721
06-05-2022,364,371.6499939,356,366.2999878,60926
09-05-2022,365.7000122,365.7000122,334.5,351,198823
10-05-2022,351.2000122,365.7000122,350.75,359.5499878,63262
11-05-2022,361.3500061,364.9500122,336.7000122,340,81167
12-05-2022,340,340,322.7000122,330.3500061,85864
13-05-2022,331.9500122,345,330,336.75,118556
16-05-2022,338.75,340.1499939,326.0499878,332.0499878,93915
17-05-2022,333.75,377.9500122,332,350.4500122,1259531
18-05-2022,364,375,358.5499878,370.1499939,696665
19-05-2022,356,369.8500061,356,362.2000122,85616
20-05-2022,375,378.2000122,364.3500061,373.2999878,111337
23-05-2022,376.2999878,379.7999878,361.0499878,362.75,45776
24-05-2022,364.6000061,368.8500061,357.0499878,362.8999939,29774
25-05-2022,365.7999878,365.8999939,342.9500122,354.75,127135
26-05-2022,357.8999939,357.8999939,341.3999939,346.6000061,89355
27-05-2022,347.5,355,346.6000061,350.0499878,122313
30-05-2022,352.5,357.0499878,350.2999878,351.7000122,23489
31-05-2022,350.8500061,354,348.5499878,353.1499939,28097
01-06-2022,353.5,354.8999939,352.4500122,353.3500061,24883
02-06-2022,353.5,354.5,352.8500061,353.8500061,66103
03-06-2022,356,371.5,353.4500122,362.2999878,202116
06-06-2022,364,389.7999878,356.0499878,380,313065
07-06-2022,379.8999939,380.3500061,369.1499939,374.8500061,37848
08-06-2022,372.2000122,390,367,377.3999939,311426
09-06-2022,383,385.9500122,371.6499939,374.4500122,48653
10-06-2022,373.0499878,378.7000122,371.6499939,375.7999878,41283
13-06-2022,372.6499939,375,365.25,370.1000061,45290
14-06-2022,371,374.8999939,366.5,368.1000061,75598
15-06-2022,373.6000061,383,363.3999939,368.9500122,259967
16-06-2022,373.1499939,373.2000122,353.7999878,357.1499939,56973
17-06-2022,358,358,346.5499878,351.3999939,66407
20-06-2022,347,357.2000122,347,352.75,39776
21-06-2022,355,362.2000122,350.3999939,360,28208
22-06-2022,353.25,368,353.2000122,364.8500061,67742
23-06-2022,367.8500061,372.75,363.2000122,368.3500061,42289
24-06-2022,370.2000122,372,362.0499878,366.8999939,40473
27-06-2022,370.7999878,375.8500061,368,373.2000122,50175
28-06-2022,373.7999878,379.4500122,367.5,372.3500061,80577
29-06-2022,374,375.8999939,366.7000122,369.75,80600
30-06-2022,369.7000122,373.5499878,362.3999939,367.0499878,38728
01-07-2022,368.25,372.9500122,365.6499939,369.6499939,21554
04-07-2022,369,371.1499939,365,367.6000061,36194
05-07-2022,367.6000061,375,365.9500122,372.75,128046
06-07-2022,373.75,378.75,369,376.3999939,134694
07-07-2022,381.1499939,382.8500061,373.2999878,375.8999939,31047
08-07-2022,377.7999878,383,375,379.5499878,30554
11-07-2022,379.5499878,387.75,375.9500122,382.4500122,45624
12-07-2022,382,383.1499939,379.1499939,380.6000061,29037
13-07-2022,382.5499878,384.6000061,380,382.75,40927
14-07-2022,385.1000061,393.7999878,375.25,379.6499939,221830
15-07-2022,381.1499939,387.1499939,378.0499878,380.2000122,42945
18-07-2022,382.1499939,392.25,382.1499939,384.25,70094
19-07-2022,384.1499939,386.0499878,377.9500122,379.5499878,25274
20-07-2022,381.4500122,394.1499939,378.2000122,389.5,109422
21-07-2022,385.6000061,394.75,382.8999939,384.2000122,126982
22-07-2022,390,392.2999878,382,383.25,77040
25-07-2022,384,384,377,379.7999878,27197
26-07-2022,379.8500061,384.8500061,373.7999878,376.8500061,41230
27-07-2022,376.6000061,382.4500122,376.4500122,380.6499939,13781
28-07-2022,381.6499939,386,377.5499878,382.3999939,54214
29-07-2022,385,388.6499939,381,385.2999878,89619
01-08-2022,385.5,401.1499939,383.3500061,398.3999939,164918
02-08-2022,399.3999939,405.1499939,395,399.1000061,152366
03-08-2022,400,409.7999878,397.8500061,401.1000061,228807
04-08-2022,403,408,393.9500122,401.8999939,143719
05-08-2022,403.8999939,404,390.5,392.75,34469
08-08-2022,394.7000122,401.7000122,392,395.1000061,38663
10-08-2022,381.6000061,384.5499878,372.6000061,375.3999939,158801
11-08-2022,383,383,373.3500061,377.7000122,42450
12-08-2022,379.3999939,380.4500122,375.5499878,377.3500061,54716
16-08-2022,379,380.9500122,359,360.25,163368
17-08-2022,360.8999939,365,351.5,353.0499878,153413
18-08-2022,354.8500061,355,343.5499878,344.5,123932
19-08-2022,346.5499878,355.9500122,345.7999878,351.4500122,158935
22-08-2022,354,365,351.25,360.3500061,166406
23-08-2022,361.3500061,366,352.6000061,355.7999878,78558
24-08-2022,355.7999878,360,355.0499878,358.75,51426
25-08-2022,358.7999878,362,357.25,358.4500122,35408
26-08-2022,359.5,363.4500122,354.5499878,357.5499878,43554
29-08-2022,354.6499939,361.7000122,348.3500061,357.5499878,44118
30-08-2022,359.5499878,360.7999878,352.9500122,358.5499878,54469
01-09-2022,358.5499878,359.3500061,354.6499939,357.7999878,65956
02-09-2022,359.1000061,367,357.0499878,364.7999878,74162
05-09-2022,365.6499939,371.2000122,363.5,368.1499939,62971
06-09-2022,369.9500122,380,368.1499939,373.7999878,168475
07-09-2022,371.2000122,373.1499939,366.2999878,367.4500122,25401
08-09-2022,368.8500061,370.7000122,363.5,364.7999878,38987
09-09-2022,362.3500061,366.5,360.6000061,361.8500061,38852
12-09-2022,363.8500061,370.0499878,362.2000122,367.0499878,66903
13-09-2022,369.25,370.1499939,362.4500122,365.3500061,31278
14-09-2022,363,367.5,361.0499878,364.75,27038
15-09-2022,366.6000061,369,357.8500061,359.3500061,32595
16-09-2022,359.3999939,366.1499939,351,357,144243
19-09-2022,357.9500122,372.2000122,346.75,349.4500122,179415
20-09-2022,352,359.7000122,350.1000061,355.0499878,52983
21-09-2022,354.75,360,343.1000061,346.1000061,112746
22-09-2022,346.1000061,349.4500122,340,342.1000061,54241
23-09-2022,343,346.2000122,328.8999939,333.3500061,111367
26-09-2022,331,347,326,333.5499878,348249
27-09-2022,333.5499878,338.8500061,322,325.6499939,88155
28-09-2022,325,334.7999878,308.1499939,311.6499939,223899
29-09-2022,314,324.3500061,307.6499939,321.6499939,232821
30-09-2022,321.6499939,331.5,318.0499878,327.8999939,72755
03-10-2022,327.8999939,338,325.75,335.6000061,74715
04-10-2022,338.2000122,343.9500122,333.0499878,339.75,64408
06-10-2022,340.0499878,345.5,336.6000061,342.4500122,43381
07-10-2022,343,343.5499878,335.5,341.5,44734
10-10-2022,337.25,345,333.8999939,340.6000061,65277
11-10-2022,340.6000061,344.25,337.6000061,339.8999939,52369
12-10-2022,339.5,349.8999939,336.1000061,338.7000122,166302
13-10-2022,340.3999939,340.3999939,333.1499939,337.2999878,32159
14-10-2022,339.2999878,342.8999939,335.2999878,341.3500061,39878
17-10-2022,341.2999878,344.9500122,338.25,342.8500061,34332
18-10-2022,343.2000122,350,340.3500061,342.75,32808
19-10-2022,342.8500061,349.3500061,337,339.2999878,33840
20-10-2022,339.25,340.5,333.5499878,335.5499878,20158
21-10-2022,335.0499878,342.6499939,334.75,336.8500061,38858
